"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__","no_IgA",1608.87359259017,-0.310985494938933,0.103088722174613,-3.01667814266028,0.00255561004210876,0.0121939107723475
"g__[Ruminococcus]","no_IgA",791.888741080002,0.100152546315759,0.147493643992383,0.679029574460384,0.497119123279568,0.912295533930636
"g__Anaerostipes","no_IgA",2.23786882486022,0.193418318472412,0.112360848471498,1.72140314979443,0.08517769310534,0.249555697343715
"g__Blautia","no_IgA",14.0707201053782,0.0977667538529573,0.0713216144210771,1.37078716804909,0.170441312218494,0.466618018696532
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Clostridium","no_IgA",1.06608231817484,-0.112752006303073,0.159342470073245,-0.707607998365062,0.479188724478384,0.899151876268428
"g__Coprococcus","no_IgA",126.216125447166,-0.106872249465706,0.121764821588364,-0.87769396835316,0.380109818632378,0.794458530798602
"g__Dorea","no_IgA",90.2754965482566,-0.787225665892603,0.131798733049274,-5.97293803725938,2.33018421365096e-09,3.24283969733091e-08
"g__Roseburia","no_IgA",58.6591504153746,0.332632544206395,0.131951648425952,2.52086690976854,0.0117066120356557,0.0425000915207502
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g__","no_IgA",19.15891528371,-1.40785599680864,0.234548880229897,-6.00239913926986,1.94423036815853e-09,2.95169519529523e-08
"g__rc4-4","no_IgA",1.2993192369676,-0.482475820219503,0.183256243751616,-2.63279335176949,0.00846858554625954,0.0328896229354731
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__","no_IgA",171.052685461424,0.114993921402529,0.210339961441916,0.54670506077032,0.584581376809374,0.987422221485336
"g__[Clostridium]","no_IgA",1.03956453496172,-0.0641406780900553,0.160198342578503,-0.40038290694939,0.688874511991163,0.998644113602911
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__","no_IgA",478.845620393186,-0.286902367589465,0.0976302440386234,-2.93866281309267,0.00329631474641743,0.0144864358592556
"g__Anaerotruncus","no_IgA",6.12905015626938,1.31374514294225,0.212334496131625,6.18714889420448,6.1262096177324e-10,1.02307700616131e-08
"g__Faecalibacterium","no_IgA",3.03687270389636,-0.0122833272626697,0.0930861190128614,-0.131956594526973,0.895018623995577,0.998644113602911
"g__Oscillospira","no_IgA",1701.53246493158,-0.338076462450675,0.13274873431165,-2.54673962959966,0.0108734528580477,0.0403525917176439
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus","no_IgA",360.365291338055,-0.0237807262017915,0.113742219369659,-0.209075630259199,0.834389198526956,0.998644113602911
"g__Veillonella","no_IgA",5.05109494370422,0.00234281243577137,0.0721163072053554,0.0324865835004567,0.974084015199079,0.998644113602911
"g__Caldicellulosiruptor","no_IgA",3.09946953188049,-0.00572016115409398,0.092138656745965,-0.0620820983950852,0.950497452907316,0.998644113602911
