"","Variable","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"24","f__Bacillaceae","no_IgA",31.7704844567623,-0.080973480382173,0.0432992212418626,-1.87009091756796,0.0614711935165065,0.186690291420501
"25","f__Paenibacillaceae","no_IgA",4.08912570313408,0.0412771581881362,0.0805480959435261,0.512453555911196,0.608333617105701,0.986212678190592
"26","f__Planococcaceae","no_IgA",19.8539072762356,-0.0582722845802069,0.0416457472063096,-1.39923734088695,0.161741822445418,0.414463420016382
"27","f__Staphylococcaceae","no_IgA",26.6887740512507,0.0198034275207867,0.04410542117081,0.449002117995713,0.653430128766998,0.986212678190592
"28","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__","no_IgA",4.11567428607975,0.0327939743927117,0.0802524114140725,0.408635376992064,0.682807264714888,0.986212678190592
"29","f__Aerococcaceae","no_IgA",7.37351208834527,-0.333771385263361,0.098296763926202,-3.39554805195769,0.000684913502800213,0.00312016151275652
"30","f__Carnobacteriaceae","no_IgA",2.02409187458289,-0.00862833133997783,0.114809688094755,-0.0751533383912401,0.940092709876907,0.986212678190592
"31","f__Enterococcaceae","no_IgA",15.8603890190594,-0.156350791903293,0.0693318936494822,-2.25510632514595,0.0241266557251969,0.0824327403944228
"32","f__Lactobacillaceae","no_IgA",1034.25057714985,0.419745505366394,0.193183895549976,2.17277689825759,0.0297971128429411,0.0977345301248468
"33","f__Leuconostocaceae","no_IgA",7.15456371667809,-0.302360835325962,0.0961676305637866,-3.14410195565139,0.00166597384858574,0.00718999239915951
"34","f__Streptococcaceae","no_IgA",23.6480315226406,0.0109677882103208,0.0493012211546986,0.22246483866811,0.823952042142851,0.986212678190592
"35","f__Turicibacteraceae","no_IgA",15.3169905860478,-1.75518562354327,0.252507201212559,-6.95103195122647,3.62623721768419e-12,6.16741756300789e-11
"36","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__","no_IgA",6075.02924799367,0.0202407534930444,0.11384216085654,0.17779663826437,0.858882687562729,0.986212678190592
"37","f__[Mogibacteriaceae]","no_IgA",27.6212362082808,-0.0218459405635681,0.0838368889030334,-0.260576708527858,0.794418953194963,0.986212678190592
"38","f__[Tissierellaceae]","no_IgA",2.08651085651672,0.18355740878222,0.111867869823276,1.64084119123924,0.100830385231699,0.285106606517218
"39","f__Christensenellaceae","no_IgA",10.3247229164864,-0.0365632406814498,0.110174768844449,-0.331865826131861,0.739990576126704,0.986212678190592
"40","f__Clostridiaceae","no_IgA",105.567694549471,-0.186835466815485,0.121638735766143,-1.53598658880084,0.124541669600996,0.329432803460699
"41","f__Dehalobacteriaceae","no_IgA",69.9450712004142,-0.208826370668971,0.13379883237242,-1.56074882692337,0.118583025797346,0.324126937179413
"42","f__Eubacteriaceae","no_IgA",3.17095580338988,0.0205498157674072,0.0916440062303017,0.224235240390577,0.822574263689137,0.986212678190592
"43","f__Lachnospiraceae","no_IgA",2700.7772394951,-0.170473120139642,0.100870151917447,-1.69002541286106,0.0910230929217603,0.266567629270869
"44","f__Peptococcaceae","no_IgA",20.7089323191261,-1.35310369554361,0.209387237087529,-6.46220712572841,1.03186725086512e-10,1.20875877958486e-09
"45","f__Peptostreptococcaceae","no_IgA",172.256137140824,0.113916006486566,0.207817777002718,0.548153329948652,0.583586624593879,0.986212678190592
"46","f__Ruminococcaceae","no_IgA",2553.47962075832,-0.276094223922059,0.108662274666447,-2.54084708579465,0.0110584272341307,0.0394256970955963
"47","f__Veillonellaceae","no_IgA",7.07472151793664,0.00160719552188567,0.0615701047351879,0.0261035047576774,0.97917478162406,0.986212678190592
"48","f__Caldicellulosiruptoraceae","no_IgA",3.10355088708779,-0.00517486820812708,0.0930248526105227,-0.0556288783363437,0.955637458533672,0.986212678190592
"49","f__Erysipelotrichaceae","no_IgA",2629.84421182948,-0.260392097244787,0.216332309822608,-1.20366716122205,0.22871824960552,0.520969346323685
"50","f__Caulobacteraceae","no_IgA",9.99804666110668,-0.3900044789447,0.09832356409904,-3.96654131202825,7.29231405817532e-05,0.000459976732900289
"51","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__RF32_f__","no_IgA",2.05542010747325,-0.0386617262318839,0.114582699295263,-0.337413295983353,0.73580536298749,0.986212678190592
"52","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__","no_IgA",2.10363679354031,-0.0576473074591797,0.113792325222933,-0.506601015017855,0.612434796014337,0.986212678190592
"53","f__Bradyrhizobiaceae","no_IgA",4.07703799259435,-0.0137691990073356,0.0812204566213155,-0.16952870717698,0.865380794083441,0.986212678190592
"54","f__Brucellaceae","no_IgA",3.04101350222875,0.0117162536983059,0.0935320955951883,0.125264526831671,0.900314134426126,0.986212678190592
"55","f__Hyphomicrobiaceae","no_IgA",2.02649690300239,-0.0109607556488295,0.1148152562475,-0.0954642789386986,0.923946061919433,0.986212678190592
"56","f__Methylobacteriaceae","no_IgA",4.10111641773743,-0.0253008296784777,0.0812085099986821,-0.311553920628371,0.755379558250942,0.986212678190592
"57","f__Rhizobiaceae","no_IgA",3.0674617940953,0.0580499144781323,0.0926831379107859,0.626326598199658,0.531100743701652,0.968174240292945
"58","f__Acetobacteraceae","no_IgA",2.07701734740783,-0.0590901158489742,0.114780508234546,-0.514809672459608,0.606686025657909,0.986212678190592
"59","f__mitochondria","no_IgA",2.20701096966547,0.0148737273070986,0.110766316088637,0.134280238183568,0.893180979354412,0.986212678190592
