"","OTU_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1528","260752","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","NASH",0.272423911171893,-0.847456798320478,1.27588538219605,-0.664210759168537,0.506555428216487,0.616922253358626
"1529","260201","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",84.6706939021791,1.75133785396196,0.419792531874337,4.17191284023654,3.02053184554511e-05,0.000136236401861138
"1530","835900","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Odoribacteraceae]","g__Odoribacter","s__","NASH",34.6773574322379,-0.473541398017165,0.434266950626657,-1.09043849027386,0.275520034584697,0.380147895819392
"1531","261334","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","NASH",0.140348921991956,0.0785837030687071,1.97730151085526,0.0397429034658031,0.968298096660235,0.975758020363318
"1532","2317377","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__","NASH",5.65950061922657,1.00007677821678,0.633058522445443,1.57975407131964,0.114163197447265,0.188067332822447
"1533","4425495","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__","NASH",2.41518510212027,0.59835936712919,0.256775982630333,2.33027778143338,0.0197914742946339,0.0432910321406819
"1534","134065","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","NASH",12.5458809845304,-2.6477158005685,0.334263773145759,-7.92103725644819,2.35537345903968e-15,5.31177324900673e-14
"1535","1737536","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__","NASH",0.891855433362846,-0.838098365396517,0.452349568438651,-1.85276702769792,0.0639157581090115,0.113710324382963
"1536","168145","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","s__","NASH",2.18933470021971,0.859244210881733,0.313128906419031,2.74405905449012,0.00606846200005911,0.0165365589501611
"1537","191616","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","s__","NASH",2.88454551189346,-1.37303783082755,0.506329648931728,-2.71174685054378,0.00669296857014785,0.0177935018084418
"1538","194225","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",19.6331612015485,-2.68974589057132,0.506520330587848,-5.3102427052626,1.09479342078339e-07,8.04488648530718e-07
"1539","165046","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__","NASH",32.8696674462806,0.366250676920194,0.292430249108708,1.25243772843774,0.210410405842267,0.310628454674589
"1540","321735","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",2.64449149460321,1.00963601948362,0.478711581451111,2.10906954960881,0.0349385787784426,0.0676030488789983
"1541","3392847","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","NASH",2.51951561918675,-0.273820931217578,0.243696096000965,-1.12361640465711,0.261175793707399,0.365759378627666
"1542","3392842","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","NASH",0.484758518277942,-1.14046909089639,0.501911089224749,-2.27225322448635,0.0230712202334546,0.0483608270278182
"1543","3392840","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Dorea","s__","NASH",5.33337424179716,-0.0493790730432458,0.390433221725137,-0.126472518975366,0.899357901031496,0.92772881273596
