sample_id	NASH	HCC	obes	adenomas	T1d
10856.E14L.feces.41w.ANB.HFD.MupHe.2.6	True	True	True	False	False
10856.E23La.feces.51w.LALAPG.HFD.MupHe.1.9	False	True	False	False	False
10856.E17L.feces.42w.HFD.CD4HeCLM.2.10	False	False	True	False	False
10856.E17L.feces.42w.HFD.CD4HeCLM.1.9	False	False	True	False	False
10856.E41L.feces.19w.STAM.B6.B.TGFb.1.11.FVB	True	True	False	False	True
10856.E25L.feces.48w.HFD.CD8kMup.9.13	True	True	False	False	False
10856.E42L.feces.49w.HFD.CD8kMup.5.16	True	True	False	False	False
10856.E55L.feces.16w.STAM.FVB.CD8k.1.10	True	True	False	False	True
10856.E19L.feces.45w.HFD.CD8kCLM.1.6	False	False	True	False	False
10856.E26L.feces.34w.HFD.B6.1.34	False	False	True	False	False
10856.B6.IgAK.Feces.8w.NC.3.12	False	False	False	False	False
10856.E15L.feces.45w.HFD.IgAMup.6.19	True	True	False	False	False
10856.E4L.feces.ctrl.Mup.IgAk.16	False	False	True	False	False
10856.E4L.feces.ctrl.Mup.IgAk.15	False	False	True	False	False
10856.E25L.feces.49w.HFD.CD8kCLM.2.4	False	False	True	False	False
10856.E4L.feces.ctrl.Mup.IgAk.11	True	True	False	False	False
10856.E25L.feces.49w.HFD.CD8kCLM.4.9	False	False	True	False	False
10856.E37Lb.feces.50w.HFD.CD8kMup.2.20	True	True	False	False	False
10856.Ex3.HFD.11.feces.MupplusIgA..11	True	True	False	False	False
10856.E40L.feces.47w.NC.B6.3.6	False	False	False	False	False
10856.Ex3.HFD.11.feces.MupplusIgA..10	True	True	False	False	False
10856.B6.CD8K.Feces.13w.NC.2.2	False	False	False	False	False
10856.E26L.feces.46w.HFD.ctrl.IgAKMup.2.2	True	True	False	False	False
10856.E42L.feces.46w.ANB.HFD.CD8kMup.8.9	True	True	True	False	False
10856.E42L.feces.46w.ANB.HFD.CD8kMup.4.4	True	True	True	False	False
10856.E18L.feces.27w.NC.B6WT.2.31	False	False	False	False	False
10856.FVB.B.TGFbR.Feces.11w.NC.4.41	False	False	False	False	False
10856.E18L.feces.25w.NC.IgAkCLM.5.26	True	False	False	False	False
10856.E47L.feces.20w.STAM.FVB.IgAk.6.14	True	True	False	False	True
10856.E20L.feces.47w.NC.IgAkMup.1.15	True	False	False	True	False
10856.B6.Ighel.MD4.Feces.21w.NC.1.45	False	False	False	False	False
10856.E42L.feces.48w.HFD.CD8kMup.8.19	True	True	False	False	False
10856.E34La.feces.41w.HFD.MupHe.2.2	True	True	True	False	False
10856.E22L.feces.26w.HFD.IgAkMup.5.11	True	False	True	False	False
10856.E49L.feces.25w.STAM.B6.PIGRHe.2.6	True	True	False	False	True
10856.E38L.feces.50w.NC.MupHe.4.17	True	False	False	True	False
10856.B6.PIGRK.Feces.6w.NC.4.65	False	False	False	False	False
10856.E47L.feces.20w.STAM.FVB.B.TGFbR.7.22	True	True	False	False	True
10856.E24L.feces.47w.NC.IgAkCLM.1.20	False	False	False	False	False
10856.E45L.feces.22w.STAM.FVB.JH.1.5	True	True	False	False	True
10856.FVB.Feces.25w.NC.2.55	False	False	False	False	False
10856.E26L.feces.50w.NC.IgAK.CLM.3.23	False	False	False	False	False
10856.E22L.feces.25w.HFD.MupHe.6.6	True	False	True	False	False
10856.E51L.Col.Fe.48w.HFD.IgAkMup.4.7	True	True	True	False	False
10856.E22L.feces.25w.HFD.MupHe.4.4	True	False	True	False	False
10856.E41L.feces.20w.STAM.JH.7.7	True	True	False	False	True
10856.Ex3.HFD.11.feces.MupplusIgA..6	True	True	False	False	False
10856.B6.PIGRK.Feces.6w.NC.2.63	False	False	False	False	False
10856.E25L.feces.49w.HFD.CD8kMup.4.6	True	True	False	False	False
10856.Ex3.HFD.11.feces.MupplusIgA..8	True	True	False	False	False
10856.E42L.feces.49w.HFD.CD8kMup.3.14	True	True	False	False	False
